מספר כנסת,תקופה,סוג הצעת חוק,קישור,שם,מספר פרטית,מספר חוברת לקריאה ראשונה,מספר חוברת בספר החוקים,הערות,סטטוס,ועדה מטפלת,מקום הדיון,דיון אחרון,תקציר לחוק שהתקבל
25,,ממשלתית,"הצעת חוק לעידוד פעילות בשוק ההון (תיקוני חקיקה), התשפ""ד-2024","הצעת חוק לעידוד פעילות בשוק ההון (תיקוני חקיקה), התשפ""ד-2024",, (מ/1773),,,לאישור פיצול במליאה,ועדת הכספים,ועדה,06.07.2026,
25,,ממשלתית,"הצעת חוק איסור הונאה בכשרות (תיקון מס' 5), התשפ""ו-2026","הצעת חוק איסור הונאה בכשרות (תיקון מס' 5), התשפ""ו-2026",, (מ/1957),,,הכנה לקריאה שנייה ושלישית,הוועדה למיזמים ציבוריים,ועדה,06.07.2026,
25,,פרטית,"הצעת חוק זכויות הסטודנט (תיקון מס' 10) (מסלולי לימוד נפרדים בתארים מתקדמים), התשפ""ה–2025","הצעת חוק זכויות הסטודנט (תיקון מס' 10) (מסלולי לימוד נפרדים בתארים מתקדמים), התשפ""ה–2025", (פ/4884/25), (כ/1121),,,הכנה לקריאה שנייה ושלישית,ועדת החינוך התרבות והספורט,ועדה,06.07.2026,
25,,ממשלתית,"הצעת חוק התקשורת (שידורים), התשפ""ו-2025","הצעת חוק התקשורת (שידורים), התשפ""ו-2025",, (מ/1898),,,הכנה לקריאה שנייה ושלישית,"הוועדה לדיון בהצעת חוק התקשורת (שידורים), התשפ""ו-2025 (מ/1898)",ועדה,06.07.2026,
25,,פרטית,"הצעת חוק הרשות השנייה לטלוויזיה ורדיו (תיקון מס' 50) (שידורי רדיו אנלוגי ללא הגבלה גאוגרפית), התשפ""ו–2026","הצעת חוק הרשות השנייה לטלוויזיה ורדיו (תיקון מס' 50) (שידורי רדיו אנלוגי ללא הגבלה גאוגרפית), התשפ""ו–2026", (פ/4656/25), (כ/1203),,[מובילה במיזוג] ,הכנה לקריאה שנייה ושלישית,ועדת הכלכלה,ועדה,06.07.2026,
25,,פרטית,"הצעת חוק היועץ המשפטי לממשלה והתובע הכללי (מינוי, כהונה, תפקידים וסמכויות), התשפ""ו–2026","הצעת חוק היועץ המשפטי לממשלה והתובע הכללי (מינוי, כהונה, תפקידים וסמכויות), התשפ""ו–2026", (פ/877/25), (כ/1192),,[מובילה במיזוג] ,הכנה לקריאה שנייה ושלישית,"ועדת החוקה, חוק ומשפט",ועדה,06.07.2026,
25,,ועדה,הצעת חוק-יסוד: סמכות חקירה והעמדה לדין (תיקוני חקיקה),הצעת חוק-יסוד: סמכות חקירה והעמדה לדין (תיקוני חקיקה),, (כ/1192),,,הכנה לקריאה שנייה ושלישית,"ועדת החוקה, חוק ומשפט",ועדה,06.07.2026,
25,,ועדה,"הצעת חוק הבחירות לכנסת העשרים ושש (הוראות מיוחדות ותיקוני חקיקה), התשפ""ו-2026","הצעת חוק הבחירות לכנסת העשרים ושש (הוראות מיוחדות ותיקוני חקיקה), התשפ""ו-2026",,,,,אושרה בוועדה לקריאה ראשונה,"ועדת החוקה, חוק ומשפט",ועדה,06.07.2026,
25,,פרטית,"הצעת חוק רשות מקרקעי ישראל (תיקון מס' 16) (הקצאת קרקע לרשות מקומית למיתקן לייצור חשמל מאנרגיה מתחדשת), התשפ""ו–2026","הצעת חוק רשות מקרקעי ישראל (תיקון מס' 16) (הקצאת קרקע לרשות מקומית למיתקן לייצור חשמל מאנרגיה מתחדשת), התשפ""ו–2026", (פ/5394/25), (כ/1191),,,הכנה לקריאה שנייה ושלישית,ועדת הפנים והגנת הסביבה,ועדה,06.07.2026,
25,,פרטית,הצעת חוק-יסוד: לימוד תורה,הצעת חוק-יסוד: לימוד תורה, (פ/1540/25), (כ/1206),,,הכנה לקריאה שנייה ושלישית,ועדת הכנסת,ועדה,06.07.2026,
25,,ממשלתית,"הצעת חוק הנצחה לאירועי השבעה באוקטובר - שמיני עצרת, התשפ""ו-2025","הצעת חוק הנצחה לאירועי השבעה באוקטובר - שמיני עצרת, התשפ""ו-2025",, (מ/1906),,[מובילה במיזוג] ,הכנה לקריאה שנייה ושלישית,ועדת החינוך התרבות והספורט,ועדה,05.07.2026,
25,,פרטית,"הצעת חוק מניעת רעש בלתי סביר של המואזין, התשפ״ו-2025","הצעת חוק מניעת רעש בלתי סביר של המואזין, התשפ״ו-2025", (פ/6392/25),,,,בוועדת הכנסת לקביעת הוועדה המטפלת,,ועדה,05.07.2026,
25,,ממשלתית,"הצעת חוק התכנון והבניה (תיקון מס' 168), התשפ""ו-2026","הצעת חוק התכנון והבניה (תיקון מס' 168), התשפ""ו-2026",, (מ/1950),,,הכנה לקריאה שנייה ושלישית,ועדת הפנים והגנת הסביבה,ועדה,05.07.2026,
25,,ממשלתית,"סעיף 2(1) (סמכות לדון בשינוי ייעוד) מתוך הצעת חוק התוכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנת התקציב 2026), התשפ""ו-2026 [פוצלה לפי סעיף 84(ב) לתקנון]","סעיף 2(1) (סמכות לדון בשינוי ייעוד) מתוך הצעת חוק התוכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנת התקציב 2026), התשפ""ו-2026 [פוצלה לפי סעיף 84(ב) לתקנון]",, (מ/1924),,,הכנה לקריאה שנייה ושלישית,ועדת הפנים והגנת הסביבה,ועדה,05.07.2026,
25,,ממשלתית,"הצעת חוק שירות ביטחון (תיקון מס' 28 והוראת שעה), התשפ""ד-2024","הצעת חוק שירות ביטחון (תיקון מס' 28 והוראת שעה), התשפ""ד-2024",, (מ/1778),,,הכנה לקריאה שנייה ושלישית,ועדת החוץ והביטחון,ועדה,02.07.2026,
25,,ממשלתית,"הצעת חוק שירות ביטחון (תיקון מס' 26) (שילוב תלמידי ישיבות), התשפ""ב-2022 ","הצעת חוק שירות ביטחון (תיקון מס' 26) (שילוב תלמידי ישיבות), התשפ""ב-2022 ",, (מ/1502),,[הוחל דין רציפות],הכנה לקריאה שנייה ושלישית,ועדת החוץ והביטחון,ועדה,02.07.2026,
25,,פרטית,"הצעת חוק תאגידי מים וביוב (תיקון מס' 21) (הפעלת שירותי מים וביוב על ידי רשות מקומית), התשפ""ו–2026","הצעת חוק תאגידי מים וביוב (תיקון מס' 21) (הפעלת שירותי מים וביוב על ידי רשות מקומית), התשפ""ו–2026", (פ/6063/25), (כ/1189),,,הכנה לקריאה שנייה ושלישית,ועדת הכלכלה,ועדה,01.07.2026,
25,,פרטית,"הצעת חוק תאגידי מים וביוב (תיקון מס' 20) (הפעלת שירותי מים וביוב על ידי רשות מקומית), התשפ""ו–2026","הצעת חוק תאגידי מים וביוב (תיקון מס' 20) (הפעלת שירותי מים וביוב על ידי רשות מקומית), התשפ""ו–2026", (פ/1339/25), (כ/1189),,,הכנה לקריאה שנייה ושלישית,ועדת הכלכלה,ועדה,01.07.2026,
25,,פרטית,"הצעת חוק אומנה לילדים (תיקון מס' 8) (הסרת מגבלת הגיל המרבי לאומן), התשפ""ו–2026","הצעת חוק אומנה לילדים (תיקון מס' 8) (הסרת מגבלת הגיל המרבי לאומן), התשפ""ו–2026", (פ/5584/25), (כ/1180),,[מובילה במיזוג] ,הכנה לקריאה שנייה ושלישית,ועדת העבודה והרווחה,ועדה,01.07.2026,
25,,ועדה,"הצעת חוק מימון מפלגות (תיקון מס' 46 – הוראת שעה) (מימון הבחירות לכנסת העשרים ושש), התשפ""ו–2026","הצעת חוק מימון מפלגות (תיקון מס' 46 – הוראת שעה) (מימון הבחירות לכנסת העשרים ושש), התשפ""ו–2026",, (כ/1207),,,הונחה על שולחן הכנסת לקריאה ראשונה,ועדת הכנסת,ועדה,01.07.2026,
